add a http request, httpsampler,org.apache.jmeter.protocol.http.sampler.HTTPSamplerProxy,org.apache.jmeter.protocol.http.control.gui.HttpTestSampleGui, 5.4.3, false
authmanager,org.apache.jmeter.protocol.http.control.AuthManager,org.apache.jmeter.protocol.http.gui.AuthPanel
jdbcdatasource,org.apache.jmeter.protocol.jdbc.config.DataSourceElement,org.apache.jmeter.testbeans.gui.TestBeanGUI
javaconfig,org.apache.jmeter.protocol.java.config.JavaConfig,org.apache.jmeter.protocol.java.config.gui.JavaConfigGui
keystoreconfig,org.apache.jmeter.config.KeystoreConfig,org.apache.jmeter.testbeans.gui.TestBeanGUI
ldapextconfig,org.apache.jmeter.config.ConfigTestElement,org.apache.jmeter.protocol.ldap.config.gui.LdapExtConfigGui
ldapconfig,org.apache.jmeter.config.ConfigTestElement,org.apache.jmeter.protocol.ldap.config.gui.LdapConfigGui
loginconfig,org.apache.jmeter.config.ConfigTestElement,org.apache.jmeter.config.gui.LoginConfigGui
randomvariable,org.apache.jmeter.config.RandomVariableConfig,org.apache.jmeter.testbeans.gui.TestBeanGUI
simpleconfig,org.apache.jmeter.config.ConfigTestElement,org.apache.jmeter.config.gui.SimpleConfigGui
tcpconfig,org.apache.jmeter.config.ConfigTestElement,org.apache.jmeter.protocol.tcp.config.gui.TCPConfigGui
arguments,org.apache.jmeter.config.Arguments,org.apache.jmeter.config.gui.ArgumentsPanel
ftprequestdefaults,org.apache.jmeter.config.ConfigTestElement,org.apache.jmeter.protocol.ftp.config.gui.FtpConfigGui
httpauthorizationmanager,org.apache.jmeter.protocol.http.control.AuthManager,org.apache.jmeter.protocol.http.gui.AuthPanel
viewresultstree,org.apache.jmeter.reporters.ResultCollector,org.apache.jmeter.visualizers.ViewResultsFullVisualizer
summaryreport,org.apache.jmeter.reporters.ResultCollector,org.apache.jmeter.visualizers.SummaryReport
aggregatereport,org.apache.jmeter.reporters.ResultCollector,org.apache.jmeter.visualizers.StatVisualizer
backendlistener,org.apache.jmeter.visualizers.backend.BackendListener,org.apache.jmeter.visualizers.backend.BackendListenerGui
statgraphvisualizer,org.apache.jmeter.reporters.ResultCollector,org.apache.jmeter.visualizers.StatGraphVisualizer
assertionvisualizer,org.apache.jmeter.reporters.ResultCollector,org.apache.jmeter.visualizers.AssertionVisualizer
comparisonvisualizer,org.apache.jmeter.reporters.ResultCollector,org.apache.jmeter.visualizers.ComparisonVisualizer
summariser,org.apache.jmeter.reporters.Summariser,org.apache.jmeter.reporters.gui.SummariserGui
graphvisualizer,org.apache.jmeter.reporters.ResultCollector,org.apache.jmeter.visualizers.GraphVisualizer
jsr223listener,org.apache.jmeter.visualizers.JSR223Listener,org.apache.jmeter.testbeans.gui.TestBeanGUI
mailervisualizer,org.apache.jmeter.reporters.MailerResultCollector,org.apache.jmeter.visualizers.MailerVisualizer
resptimegraph,org.apache.jmeter.reporters.ResultCollector,org.apache.jmeter.visualizers.RespTimeGraphVisualizer
resultsaver,org.apache.jmeter.reporters.ResultSaver,org.apache.jmeter.reporters.gui.ResultSaverGui
simpledatawriter,org.apache.jmeter.reporters.ResultCollector,org.apache.jmeter.visualizers.SimpleDataWriter
tablevisualizer,org.apache.jmeter.reporters.ResultCollector,org.apache.jmeter.visualizers.TableVisualizer
beanshelllistener,org.apache.jmeter.visualizers.BeanShellListener,org.apache.jmeter.testbeans.gui.TestBeanGUI
jsr223sampler,org.apache.jmeter.protocol.java.sampler.JSR223Sampler,org.apache.jmeter.testbeans.gui.TestBeanGUI
jsr223preprocessor,org.apache.jmeter.modifiers.JSR223PreProcessor,org.apache.jmeter.testbeans.gui.TestBeanGUI
jsr223postprocessor,org.apache.jmeter.extractor.JSR223PostProcessor,org.apache.jmeter.testbeans.gui.TestBeanGUI
jsr223listener,org.apache.jmeter.visualizers.JSR223Listener,org.apache.jmeter.testbeans.gui.TestBeanGUI
jsr223assertion,org.apache.jmeter.assertions.JSR223Assertion,org.apache.jmeter.testbeans.gui.TestBeanGUI
jsr223timer,org.apache.jmeter.timers.JSR223Timer,org.apache.jmeter.testbeans.gui.TestBeanGUI
loopcontroller,org.apache.jmeter.control.LoopController,org.apache.jmeter.control.gui.LoopControlPanel
ifcontroller,org.apache.jmeter.control.IfController,org.apache.jmeter.control.gui.IfControllerPanel
whilecontroller,org.apache.jmeter.control.WhileController,org.apache.jmeter.control.gui.WhileControllerGui
transactioncontroller,org.apache.jmeter.control.TransactionController,org.apache.jmeter.control.gui.TransactionControllerGui
simplecontroller,org.apache.jmeter.control.GenericController,org.apache.jmeter.control.gui.LogicControllerPanel
onceonlycontroller,org.apache.jmeter.control.OnceOnlyController,org.apache.jmeter.control.gui.OnceOnlyControllerPanel
interleavecontroller,org.apache.jmeter.control.InterleaveControl,org.apache.jmeter.control.gui.InterleaveControlPanel
randomcontroller,org.apache.jmeter.control.RandomController,org.apache.jmeter.control.gui.RandomControlPanel
randomordercontroller,org.apache.jmeter.control.RandomOrderController,org.apache.jmeter.control.gui.RandomOrderControllerPanel
throughputcontroller,org.apache.jmeter.control.ThroughputController,org.apache.jmeter.control.gui.ThroughputControllerPanel
runtimecontroller,org.apache.jmeter.control.RunTime,org.apache.jmeter.control.gui.RunTimeGui
switchcontroller,org.apache.jmeter.control.SwitchController,org.apache.jmeter.control.gui.SwitchControllerPanel
foreachcontroller,org.apache.jmeter.control.ForeachController,org.apache.jmeter.control.gui.ForeachControlPanel
modulecontroller,org.apache.jmeter.control.ModuleController,org.apache.jmeter.control.gui.ModuleControllerGui
includecontroller,org.apache.jmeter.control.IncludeController,org.apache.jmeter.control.gui.IncludeControllerPanel
recordingcontroller,org.apache.jmeter.control.RecordingController,org.apache.jmeter.control.gui.RecordController
criticalsectioncontroller,org.apache.jmeter.control.CriticalSectionController,org.apache.jmeter.control.gui.CriticalSectionControllerPanel
sampleresultsaveconfiguration,org.apache.jmeter.samplers.SampleSaveConfiguration,org.apache.jmeter.samplers.SampleSaveConfiguration
graphresults,org.apache.jmeter.reporters.ResultCollector,org.apache.jmeter.visualizers.GraphVisualizer
assertionresults,org.apache.jmeter.reporters.ResultCollector,org.apache.jmeter.visualizers.AssertionVisualizer
viewresultsintable,org.apache.jmeter.reporters.ResultCollector,org.apache.jmeter.visualizers.TableVisualizer
saveresponsestoafile,org.apache.jmeter.reporters.ResultSaver,org.apache.jmeter.reporters.gui.ResultSaverGui
generatesummaryresults,org.apache.jmeter.reporters.Summariser,org.apache.jmeter.reporters.gui.SummariserGui
comparisonassertionvisualizer,org.apache.jmeter.reporters.ResultCollector,org.apache.jmeter.visualizers.ComparisonVisualizer
aggregategraph,org.apache.jmeter.reporters.ResultCollector,org.apache.jmeter.visualizers.StatGraphVisualizer
